RMSSD,pNN58,SDNN,SD1,SD2,SD1_SD2,emotion
77,45,58,55,60,0.9021980253139856,开心
74,41,63,52,73,0.7195381031751051,开心
73,41,57,51,63,0.8182696483380673,开心
67,41,47,47,47,1.000765004463401,开心
89,50,56,63,48,1.287560219617842,开心
120,38,80,84,75,1.1184061911644945,开心
-111,61,84,102,62,1.655536697653126,开心
-109,69,82,104,51,2.010593502255968,开心
72,38,42,50,32,1.5750912948192657,开心
41,7,30,29,31,0.9217028502231772,开心
62,15,43,43,42,1.0432294149559629,开心
82,46,50,58,41,1.3979796898408456,开心
84,61,51,59,40,1.4649416813441538,开心
80,61,46,57,32,1.7782677248501724,开心
69,41,43,48,37,1.3144264682081113,开心
70,33,47,49,45,1.0888467880916293,开心
58,18,78,41,102,0.400195264839553,开心
62,25,60,44,73,0.6040003454940273,开心
70,36,50,49,50,0.987226313374706,开心
64,25,51,45,57,0.7970291607713937,开心
59,8,75,41,97,0.4213877057758873,开心
58,9,74,41,97,0.4219038923214692,开心
82,42,54,58,51,1.1208680465001113,开心
72,30,50,50,51,0.997155044021832,开心
76,30,57,53,60,0.886103576803167,开心
59,16,37,42,32,1.2964704893593846,开心
98,41,66,69,62,1.1196601171684668,开心
104,46,67,73,61,1.2069353393557694,开心
114,58,74,80,67,1.1936226727563386,开心
-99,61,96,111,79,1.403673883509044,开心
80,23,68,56,78,0.7277442273684774,开心
51,15,61,35,79,0.44042303984949,开心
65,23,63,45,77,0.5951361197458134,开心
83,41,77,58,93,0.6304228025464012,开心
73,46,53,51,55,0.9324125652149444,开心
75,42,50,53,46,1.1427520960125936,开心
75,38,51,53,50,1.062381744365101,开心
125,69,81,88,74,1.1895049239989464,开心
120,53,73,84,60,1.3949108414905094,开心
83,27,71,58,81,0.716336204557479,开心
72,30,77,50,96,0.5281853190580971,开心
67,23,67,47,83,0.5699282322127576,开心
55,16,68,39,89,0.4393499565840542,开心
55,16,72,39,94,0.416306745654587,开心
70,27,55,49,61,0.8131036080438361,开心
76,36,55,54,57,0.9523532664857336,开心
76,36,52,53,51,1.0475095534607022,开心
65,30,59,45,70,0.6514079706402508,开心
75,30,67,53,78,0.6829312644888161,开心
70,20,56,49,61,0.8005646045685447,开心
65,10,51,45,57,0.8060848632190908,开心
68,25,51,48,55,0.8820225934558485,开心
64,23,52,45,58,0.7763092327726034,开心
72,33,69,50,83,0.6076702796932238,开心
52,16,43,36,48,0.7530779322752276,开心
38,0,34,26,40,0.6576373235639584,开心
73,33,46,51,40,1.276281891160187,开心
80,41,46,56,32,1.7180056146845952,开心
113,63,113,80,-117,0.5767363931317262,开心
78,54,91,55,117,0.4720546934689854,开心
74,50,86,50,111,0.4509263149346506,开心
62,33,51,44,58,0.7565274942441585,开心
102,58,67,72,61,1.1681045913936017,开心
114,75,62,81,36,2.227974747206205,开心
69,25,61,48,71,0.6832957185942525,开心
72,33,62,50,72,0.6907310224977499,开心
57,23,36,40,31,1.269203947790845,开心
50,14,32,34,30,1.1547005383792517,开心
